0x004021b0:0x004021d0, __cxx_global_var_init
0x00413070:0x004130ef, _ZN3pov20Parse_Unknown_VectorEPdbPb
0x004130f0:0x00413181, _ZN3pov18Parse_Scale_VectorEPd
0x00413190:0x004135bb, _ZN3pov12Parse_ColourEPf
0x004135c0:0x004137e1, _ZN3pov15Parse_Blend_MapEii
0x004137f0:0x00413c6a, _ZN3pov16Parse_Blend_ListEiPNS_16Blend_Map_StructEi
0x00413c70:0x00413d43, _ZN3pov26Parse_Item_Into_Blend_ListEi
0x00413d50:0x004140c2, _ZN3pov16Parse_Colour_MapEv
0x004140d0:0x004142ad, _ZN3pov12Parse_SplineEv
0x004142b0:0x004142c6, _ZN3pov22Init_Random_GeneratorsEv
0x004142d0:0x0041430e, _ZN3pov25Destroy_Random_GeneratorsEv
0x00414310:0x0041439e, _ZN3pov18Parse_Signed_FloatEv
0x004143a0:0x00414505, _ZN3povL13Parse_LogicalEPdPi
0x00414510:0x00414575, _ZN3povL15Promote_ExpressEPdPii
0x00414580:0x00414882, _ZN3povL14Parse_Rel_TermEPdPi
0x00414890:0x00414935, _ZN3povL12Parse_InsideEv
0x00414940:0x004149a4, _ZN3povL19Parse_Vector_Param2EPdS0_
0x004149b0:0x004149f5, _ZN3povL18Parse_Vector_ParamEPd
0x00414a00:0x00414a4d, _ZN3povL11stream_seedEi
0x00414a50:0x00414a78, _ZN3povL11stream_randEi
0x00414a80:0x00414c1e, _ZN3povL11Parse_TraceEPd
0x00414c20:0x00414ce1, _ZN3povL19Parse_Function_CallEv
0x00414cf0:0x00414e05, _ZN3povL26Parse_Vector_Function_CallEPdPi
0x00414e10:0x00414f45, _ZN3povL17Parse_Spline_CallEPdPi
0x00414f50:0x00414fa0, _ZN3povL10Parse_CallEv
0x00414fa0:0x004150ff, _ZN3povL14Parse_Num_TermEPdPi
0x00415100:0x0041510c, _ZSt3maxIiERKT_S2_S2_
0x00415110:0x00415139, _ZN3pov12VNormalizeEqEPd
0x00415140:0x0041525d, _ZN3pov6FNCodeC2EPNS_12FunctionCodeEbPKc
0x00415260:0x0041534e, _ZN3pov6FNCode9ParameterEv
0x00415350:0x004154b4, _ZN3pov6FNCode7CompileEPNS_14ExprNodeStructE
0x004154c0:0x00415584, _ZN3pov6FNCode19compile_instructionEjjjj
0x00415590:0x00415776, _ZN3pov6FNCode18compile_parametersEv
0x00415780:0x00415d49, _ZN3pov6FNCode17compile_recursiveEPNS_14ExprNodeStructE
0x00415d50:0x00415db3, _ZN3pov6FNCode19compile_instructionEjjjjj
0x00415dc0:0x00415f4f, _ZN3pov11FNCode_CopyEPNS_12FunctionCodeES1_
0x00415f50:0x004160b1, _ZN3pov13FNCode_DeleteEPNS_12FunctionCodeE
0x004160c0:0x004160c1, _ZN3pov6FNCode7SetFlagEjPc
0x004160d0:0x00416190, _ZN3pov6FNCode19compile_push_resultEv
0x00416190:0x004162ce, _ZN3pov6FNCode16compile_variableEPc
0x004162d0:0x004165b0, _ZN3pov6FNCode14compile_memberEPc
0x004165b0:0x00416c02, _ZN3pov6FNCode12compile_callEPNS_14ExprNodeStructEjiPc
0x00416c10:0x00416c65, _ZN3pov6FNCode18compile_pop_resultEj
0x00416c70:0x00416e31, _ZN3pov6FNCode14compile_selectEPNS_14ExprNodeStructE
0x00416e40:0x004170bc, _ZN3pov6FNCode27compile_float_function_callEPNS_14ExprNodeStructEjPc
0x004170c0:0x0041736f, _ZN3pov6FNCode28compile_vector_function_callEPNS_14ExprNodeStructEjPc
0x00417370:0x004176d2, _ZN3pov6FNCode14compile_seq_opEPNS_14ExprNodeStructEjd
0x004176e0:0x00417761, _ZN3pov6FNCode14compile_inlineEPNS_12FunctionCodeE
0x00417770:0x00417778, _ZN8pov_base11ITextStream4nameEv
0x00417780:0x0041778c, _ZSt3minIiERKT_S2_S2_
0x00417790:0x0041779c, _ZSt3minIjERKT_S2_S2_
0x004177a0:0x00417912, _ZN3pov12f_algbr_cyl1EPdj
0x00417920:0x00417aa3, _ZN3pov12f_algbr_cyl2EPdj
0x00417ab0:0x00417c27, _ZN3pov12f_algbr_cyl3EPdj
0x00417c30:0x00417db3, _ZN3pov12f_algbr_cyl4EPdj
0x00417dc0:0x00417e56, _ZN3pov8f_bicornEPdj
0x00417e60:0x00417eee, _ZN3pov9f_bifoliaEPdj
0x00417ef0:0x00417f84, _ZN3pov6f_blobEPdj
0x00417f90:0x00418023, _ZN3pov7f_blob2EPdj
0x00418030:0x004181b4, _ZN3pov13f_boy_surfaceEPdj
0x004181c0:0x00418351, _ZN3pov7f_commaEPdj
0x00418360:0x0041845f, _ZN3pov18f_cross_ellipsoidsEPdj
0x00418460:0x004184c9, _ZN3pov16f_crossed_troughEPdj
0x004184d0:0x00418549, _ZN3pov14f_cubic_saddleEPdj
0x00418550:0x00418621, _ZN3pov9f_cushionEPdj
0x00418630:0x004186d9, _ZN3pov14f_devils_curveEPdj
0x004186e0:0x00418862, _ZN3pov17f_devils_curve_2dEPdj
0x00418870:0x00418a27, _ZN3pov14f_dupin_cyclidEPdj
0x00418a30:0x00418a8d, _ZN3pov11f_ellipsoidEPdj
0x00418a90:0x00418b8a, _ZN3pov9f_enneperEPdj
0x00418b90:0x00418c6d, _ZN3pov14f_flange_coverEPdj
0x00418c70:0x00418d13, _ZN3pov16f_folium_surfaceEPdj
0x00418d20:0x00418eb2, _ZN3pov19f_folium_surface_2dEPdj
0x00418ec0:0x00418f45, _ZN3pov6f_globEPdj
0x00418f50:0x00418ffd, _ZN3pov7f_heartEPdj
0x00419000:0x0041920c, _ZN3pov15f_helical_torusEPdj
0x00419210:0x0041947a, _ZN3pov8f_helix1EPdj
0x00419480:0x004195c7, _ZN3pov8f_helix2EPdj
0x004195d0:0x004196ee, _ZN3pov7f_hex_xEPdj
0x004196f0:0x00419816, _ZN3pov7f_hex_yEPdj
0x00419820:0x004199dd, _ZN3pov11f_hetero_mfEPdj
0x004199e0:0x00419aa1, _ZN3pov14f_hunt_surfaceEPdj
0x00419ab0:0x00419b97, _ZN3pov18f_hyperbolic_torusEPdj
0x00419ba0:0x00419c9f, _ZN3pov18f_isect_ellipsoidsEPdj
0x00419ca0:0x00419d3f, _ZN3pov20f_kampyle_of_eudoxusEPdj
0x00419d40:0x00419ec2, _ZN3pov23f_kampyle_of_eudoxus_2dEPdj
0x00419ed0:0x00419f8d, _ZN3pov14f_klein_bottleEPdj
0x00419f90:0x0041a041, _ZN3pov19f_kummer_surface_v1EPdj
0x0041a050:0x0041a11c, _ZN3pov19f_kummer_surface_v2EPdj
0x0041a120:0x0041a1a1, _ZN3pov22f_lemniscate_of_geronoEPdj
0x0041a1b0:0x0041a336, _ZN3pov25f_lemniscate_of_gerono_2dEPdj
0x0041a340:0x0041a654, _ZN3pov7f_mesh1EPdj
0x0041a660:0x0041a6fd, _ZN3pov7f_mitreEPdj
0x0041a700:0x0041a785, _ZN3pov13f_nodal_cubicEPdj
0x0041a790:0x0041a85d, _ZN3pov5f_oddEPdj
0x0041a860:0x0041a90c, _ZN3pov18f_ovals_of_cassiniEPdj
0x0041a910:0x0041a981, _ZN3pov12f_paraboloidEPdj
0x0041a990:0x0041aa6b, _ZN3pov17f_parabolic_torusEPdj
0x0041aa70:0x0041aaa9, _ZN3pov4f_phEPdj
0x0041aab0:0x0041ab39, _ZN3pov8f_pillowEPdj
0x0041ab40:0x0041abcd, _ZN3pov10f_piriformEPdj
0x0041abd0:0x0041ad55, _ZN3pov13f_piriform_2dEPdj
0x0041ad60:0x0041ade3, _ZN3pov7f_poly4EPdj
0x0041adf0:0x0041af63, _ZN3pov11f_polytubesEPdj
0x0041af70:0x0041b064, _ZN3pov9f_quantumEPdj
0x0041b070:0x0041b0e9, _ZN3pov20f_quartic_paraboloidEPdj
0x0041b0f0:0x0041b169, _ZN3pov16f_quartic_saddleEPdj
0x0041b170:0x0041b20b, _ZN3pov18f_quartic_cylinderEPdj
0x0041b210:0x0041b246, _ZN3pov3f_rEPdj
0x0041b250:0x0041b4ea, _ZN3pov7f_ridgeEPdj
0x0041b4f0:0x0041b74b, _ZN3pov11f_ridged_mfEPdj
0x0041b750:0x0041b89e, _ZN3pov13f_rounded_boxEPdj
0x0041b8a0:0x0041b8f3, _ZN3pov8f_sphereEPdj
0x0041b900:0x0041ba17, _ZN3pov8f_spikesEPdj
0x0041ba20:0x0041baa8, _ZN3pov11f_spikes_2dEPdj
0x0041bab0:0x0041bcd9, _ZN3pov8f_spiralEPdj
0x0041bce0:0x0041bd71, _ZN3pov16f_steiners_romanEPdj
0x0041bd80:0x0041be24, _ZN3pov11f_strophoidEPdj
0x0041be30:0x0041bfbf, _ZN3pov14f_strophoid_2dEPdj
0x0041bfc0:0x0041c07f, _ZN3pov16f_superellipsoidEPdj
0x0041c080:0x0041c08e, _ZN3pov4f_thEPdj
0x0041c090:0x0041c10c, _ZN3pov7f_torusEPdj
0x0041c110:0x0041c1f7, _ZN3pov8f_torus2EPdj
0x0041c200:0x0041c2b5, _ZN3pov15f_torus_gumdropEPdj
0x0041c2c0:0x0041c331, _ZN3pov10f_umbrellaEPdj
0x0041c340:0x0041c3c6, _ZN3pov17f_witch_of_agnesiEPdj
0x0041c3d0:0x0041c53c, _ZN3pov20f_witch_of_agnesi_2dEPdj
0x0041c540:0x0041c56c, _ZN3pov9f_noise3dEPdj
0x0041c570:0x0041c5d5, _ZN3pov9f_patternEPdj
0x0041c5e0:0x0041c625, _ZN3pov17f_noise_generatorEPdj
0x0041c630:0x0041c70c, _ZN3pov9f_pigmentEPdjj
0x0041c710:0x0041c7a2, _ZN3pov11f_transformEPdjj
0x0041c7b0:0x0041c877, _ZN3pov8f_splineEPdjj
0x0041c880:0x0041c889, _ZSt4fmodIdiEN9__gnu_cxx11__promote_2IT_T0_NS0_9__promoteIS2_Xsr3std12__is_integerIS2_EE7__valueEE6__typeENS4_IS3_Xsr3std12__is_integerIS3_EE7__valueEE6__typeEE6__typeES2_S3_
0x0041c890:0x0041c899, _ZN3pov8math_intEd
0x0041c8a0:0x0041c8ad, _ZN3pov8math_divEdd
0x0041c8b0:0x0041c91e, _ZN3pov11POVFPU_InitEv
0x0041c920:0x0041c994, _ZN3pov17POVFPU_NewContextEv
0x0041c9a0:0x0041ca9c, _ZN3pov18POVFPU_AddConstantEd
0x0041caa0:0x0041cb48, _ZN3pov16POVFPU_TerminateEv
0x0041cb50:0x0041cccf, _ZN3pov12POVFPU_ResetEv
0x0041ccd0:0x0041cd56, _ZN3pov15POVFPU_SetLocalEjd
0x0041cd60:0x0041cd7c, _ZN3pov15POVFPU_GetLocalEj
0x0041cd80:0x0041ce14, _ZN3pov16POVFPU_SetGlobalEjd
0x0041ce20:0x0041ce3b, _ZN3pov16POVFPU_GetGlobalEj
0x0041ce40:0x0041ce69, _ZN3pov18POVFPU_GetFunctionEj
0x0041ce70:0x0041cea5, _ZN3pov30POVFPU_GetFunctionAndReferenceEj
0x0041ceb0:0x0041cfdb, _ZN3pov18POVFPU_AddFunctionEPNS_12FunctionCodeE
0x0041cfe0:0x0041d136, _ZN3pov21POVFPU_RemoveFunctionEj
0x0041d140:0x0041d1b5, _ZN3pov16POVFPU_ExceptionEjPKc
0x0041d1c0:0x0041d1cf, _ZN3pov20POVFPU_SwitchContextEPNS_17FPUContext_StructE
0x0041d1d0:0x004217be, _ZN3pov17POVFPU_RunDefaultEj
0x004217c0:0x004217cc, _ZSt3maxIjERKT_S2_S2_
0x004217d0:0x004217e6, _ZN3pov24FNSyntax_ParseExpressionEv
0x004217f0:0x00421902, _ZN3pov10parse_exprEv
0x00421910:0x00421da1, _ZN3pov13optimise_exprEPNS_14ExprNodeStructE
0x00421db0:0x00421dc4, _ZN3pov26FNSyntax_GetTrapExpressionEj
0x00421dd0:0x00421e08, _ZN3pov13new_expr_nodeEii
0x00421e10:0x00421edf, _ZN3pov25FNSyntax_DeleteExpressionEPNS_14ExprNodeStructE
0x00421ee0:0x00421f78, _ZN3pov14expr_get_tokenEv
0x00421f80:0x00421f83, _ZN3pov9expr_noopERPNS_14ExprNodeStructEii
0x00421f90:0x004220bc, _ZN3pov9expr_growERPNS_14ExprNodeStructEii
0x004220c0:0x004221bf, _ZN3pov9expr_callERPNS_14ExprNodeStructEii
0x004221c0:0x00422218, _ZN3pov8expr_putERPNS_14ExprNodeStructEii
0x00422220:0x0042224a, _ZN3pov8expr_newERPNS_14ExprNodeStructEii
0x00422250:0x0042225a, _ZN3pov8expr_retERPNS_14ExprNodeStructEii
0x00422260:0x004222a4, _ZN3pov8expr_errERPNS_14ExprNodeStructEii
0x004222b0:0x004222f1, _ZN3pov30left_subtree_has_variable_exprEPNS_14ExprNodeStructE
0x00422300:0x0042258a, _ZN3pov13optimise_callEPNS_14ExprNodeStructE
0x00422590:0x004225d1, _ZN3pov31right_subtree_has_variable_exprEPNS_14ExprNodeStructE
0x004225e0:0x0042279b, _ZN3pov9dump_exprEP8_IO_FILEPNS_14ExprNodeStructE
0x004227a0:0x00423220, _ZN3povL28All_Parametric_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00423220:0x00423223, _ZN3povL17Inside_ParametricEPdPNS_13Object_StructE
0x00423230:0x004233d9, _ZN3povL17Parametric_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x004233e0:0x004233f6, _ZN3povL18Parametric_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x00423400:0x0042347d, _ZN3pov15Copy_ParametricEPNS_13Object_StructE
0x00423480:0x00423485, _ZN3povL20Translate_ParametricEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00423490:0x00423495, _ZN3povL17Rotate_ParametricEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004234a0:0x004234a5, _ZN3povL16Scale_ParametricEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004234b0:0x004234e2, _ZN3povL20Transform_ParametricEPNS_13Object_StructEPNS_16Transform_StructE
0x004234f0:0x004234f1, _ZN3povL17Invert_ParametricEPNS_13Object_StructE
0x00423500:0x0042354d, _ZN3pov18Destroy_ParametricEPNS_13Object_StructE
0x00423550:0x004235fd, _ZN3pov23Compute_Parametric_BBoxEPNS_17Parametric_StructE
0x00423600:0x0042373c, _ZN3pov17Create_ParametricEv
0x00423740:0x00423752, _ZN3pov18Copy_PrecompParValEPNS_23PrecompParValues_StructE
0x00423760:0x00423854, _ZN3pov21Destroy_PrecompParValEPNS_23PrecompParValues_StructE
0x00423860:0x00423a38, _ZN3pov28Precompute_Parametric_ValuesEPNS_17Parametric_StructEci
0x00423a40:0x00423c42, _ZN3povL15Precomp_Par_IntEidddd
0x00423c50:0x00423ce1, _ZN3pov8IntervalEddddPdS0_
0x00423cf0:0x00423cf5, _ZN3pov16Decrease_CounterERx
0x00423d00:0x00423e8d, _ZN3pov29Evaluate_Function_Interval_UVEjdPdS0_dRdS1_
0x00423e90:0x00423ebf, _ZN3pov20Evaluate_Function_UVEjPd
0x00423ec0:0x00423ff0, _ZN3pov14Create_FractalEv
0x00423ff0:0x00424186, _ZN3pov13SetUp_FractalEPNS_14Fractal_StructE
0x00424190:0x00424255, _ZN3pov24Allocate_Iteration_StackEi
0x00424260:0x00424397, _ZN3povL20Compute_Fractal_BBoxEPNS_14Fractal_StructE
0x004243a0:0x00424462, _ZN3pov20Free_Iteration_StackEv
0x00424470:0x0042495d, _ZN3povL25All_Fractal_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00424960:0x004249a5, _ZN3povL14Inside_FractalEPdPNS_13Object_StructE
0x004249b0:0x004249b9, _ZN3povL14Fractal_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x004249c0:0x004249f7, _ZN3povL12Copy_FractalEPNS_13Object_StructE
0x00424a00:0x00424a05, _ZN3povL17Translate_FractalEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00424a10:0x00424a15, _ZN3povL14Rotate_FractalEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00424a20:0x00424a25, _ZN3povL13Scale_FractalEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00424a30:0x00424a65, _ZN3povL17Transform_FractalEPNS_13Object_StructEPNS_16Transform_StructE
0x00424a70:0x00424a78, _ZN3povL14Invert_FractalEPNS_13Object_StructE
0x00424a80:0x00424aa0, _ZN3povL15Destroy_FractalEPNS_13Object_StructE
0x00424aa0:0x00424acb, _ZN3pov10VAddScaledEPdPKddS2_
0x00424ad0:0x00424b68, _ZN3pov17push_normal_entryEdPdS0_PNS_13Object_StructEPNS_13istack_structE
0x00424b70:0x00424b95, _ZN3pov16Destroy_FunctionEPj
0x00424ba0:0x00424bdb, _ZN3pov13Copy_FunctionEPj
0x00424be0:0x00424c66, _ZN3pov14Parse_FunctionEv
0x00424c70:0x00424cec, _ZN3pov21Parse_FunctionContentEv
0x00424cf0:0x00425053, _ZN3pov21Parse_DeclareFunctionEPiPKcb
0x00425060:0x004251b1, _ZN3pov16Iteration_HComplEPdPNS_14Fractal_StructE
0x004251c0:0x004253bd, _ZN3pov18D_Iteration_HComplEPdPNS_14Fractal_StructES0_
0x004253c0:0x00425556, _ZN3pov18Normal_Calc_HComplEPdiPNS_14Fractal_StructE
0x00425560:0x00425571, _ZN3pov14F_Bound_HComplEPNS_10Ray_StructEPNS_14Fractal_StructEPdS4_
0x00425580:0x004256c7, _ZN3pov19Iteration_HCompl_z3EPdPNS_14Fractal_StructE
0x004256d0:0x004258c5, _ZN3pov21D_Iteration_HCompl_z3EPdPNS_14Fractal_StructES0_
0x004258d0:0x00425a45, _ZN3pov21Normal_Calc_HCompl_z3EPdiPNS_14Fractal_StructE
0x00425a50:0x00425a55, _ZN3pov17F_Bound_HCompl_z3EPNS_10Ray_StructEPNS_14Fractal_StructEPdS4_
0x00425a60:0x00425bf4, _ZN3pov27Iteration_HCompl_ReciprocalEPdPNS_14Fractal_StructE
0x00425c00:0x00425cd8, _ZN3povL11HReciprocalEPdS0_S0_S0_dddd
0x00425ce0:0x00425f18, _ZN3pov29D_Iteration_HCompl_ReciprocalEPdPNS_14Fractal_StructES0_
0x00425f20:0x004261e4, _ZN3pov29Normal_Calc_HCompl_ReciprocalEPdiPNS_14Fractal_StructE
0x004261f0:0x004261f5, _ZN3pov25F_Bound_HCompl_ReciprocalEPNS_10Ray_StructEPNS_14Fractal_StructEPdS4_
0x00426200:0x00426397, _ZN3pov21Iteration_HCompl_FuncEPdPNS_14Fractal_StructE
0x004263a0:0x0042647e, _ZN3povL5HFuncEPdS0_S0_S0_ddddPNS_14Fractal_StructE
0x00426480:0x004266be, _ZN3pov23D_Iteration_HCompl_FuncEPdPNS_14Fractal_StructES0_
0x004266c0:0x00426915, _ZN3pov23Normal_Calc_HCompl_FuncEPdiPNS_14Fractal_StructE
0x00426920:0x00426925, _ZN3pov19F_Bound_HCompl_FuncEPNS_10Ray_StructEPNS_14Fractal_StructEPdS4_
0x00426930:0x00426964, _ZN3pov12Complex_MultEPNS_5cmplxES1_S1_
0x00426970:0x004269fe, _ZN3pov11Complex_DivEPNS_5cmplxES1_S1_
0x00426a00:0x00426a49, _ZN3pov11Complex_ExpEPNS_5cmplxES1_
0x00426a50:0x00426aa7, _ZN3pov11Complex_SinEPNS_5cmplxES1_
0x00426ab0:0x00426b07, _ZN3pov12Complex_SinhEPNS_5cmplxES1_
0x00426b10:0x00426b6f, _ZN3pov11Complex_CosEPNS_5cmplxES1_
0x00426b70:0x00426bc7, _ZN3pov12Complex_CoshEPNS_5cmplxES1_
0x00426bd0:0x00426c34, _ZN3pov10Complex_LnEPNS_5cmplxES1_
0x00426c40:0x00426d0f, _ZN3pov12Complex_SqrtEPNS_5cmplxES1_
0x00426d10:0x00426dad, _ZN3pov12Complex_ASinEPNS_5cmplxES1_
0x00426db0:0x00426e39, _ZN3pov12Complex_ACosEPNS_5cmplxES1_
0x00426e40:0x00426eae, _ZN3pov13Complex_ASinhEPNS_5cmplxES1_
0x00426eb0:0x00426f1e, _ZN3pov13Complex_ACoshEPNS_5cmplxES1_
0x00426f20:0x00427032, _ZN3pov13Complex_ATanhEPNS_5cmplxES1_
0x00427040:0x004271b1, _ZN3pov12Complex_ATanEPNS_5cmplxES1_
0x004271c0:0x00427252, _ZN3pov11Complex_TanEPNS_5cmplxES1_
0x00427260:0x004272ee, _ZN3pov12Complex_TanhEPNS_5cmplxES1_
0x004272f0:0x004273aa, _ZN3pov13Complex_PowerEPNS_5cmplxES1_S1_
0x004273b0:0x004273ba, _ZN3pov11Complex_PwrEPNS_5cmplxES1_
0x004273c0:0x00427524, _ZN3povL24All_HField_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00427530:0x00427850, _ZN3povL13Inside_HFieldEPdPNS_13Object_StructE
0x00427850:0x00427ba5, _ZN3povL13HField_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00427bb0:0x00427c88, _ZN3povL11Copy_HFieldEPNS_13Object_StructE
0x00427c90:0x00427c95, _ZN3povL16Translate_HFieldEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00427ca0:0x00427ca5, _ZN3povL13Rotate_HFieldEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00427cb0:0x00427cb5, _ZN3povL12Scale_HFieldEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00427cc0:0x00427cd6, _ZN3povL16Transform_HFieldEPNS_13Object_StructEPNS_16Transform_StructE
0x00427ce0:0x00427ce5, _ZN3povL13Invert_HFieldEPNS_13Object_StructE
0x00427cf0:0x00427eff, _ZN3povL14Destroy_HFieldEPNS_13Object_StructE
0x00427f00:0x0042812f, _ZN3pov14Compute_HFieldEPNS_13HField_StructEPNS_12Image_StructE
0x00428130:0x004283e8, _ZN3povL19smooth_height_fieldEPNS_13HField_StructEii
0x004283f0:0x00428909, _ZN3povL19build_hfield_blocksEPNS_13HField_StructE
0x00428910:0x00428a0f, _ZN3pov13Create_HFieldEv
0x00428a10:0x00428a5a, _ZN3pov19Compute_HField_BBoxEPNS_13HField_StructE
0x00428a60:0x00428f52, _ZN3povL15block_traversalEPNS_10Ray_StructEPNS_13HField_StructEPdRPNS_13istack_structERS1_RdS9_
0x00428f60:0x004295b4, _ZN3povL15intersect_pixelEiiPNS_10Ray_StructEPNS_13HField_StructEddRPNS_13istack_structERS1_RdS8_
0x004295c0:0x00429ca4, _ZN3povL13dda_traversalEPNS_10Ray_StructEPNS_13HField_StructEPdPNS_19HField_Block_StructERPNS_13istack_structERS1_RdSB_
0x00429cb0:0x00429e31, _ZN3povL17add_single_normalEPPtiiiiiiiiPd
0x00429e40:0x00429e96, _ZN3povL9normalizeEPdS0_
0x00429ea0:0x00429eae, _ZSt3minItERKT_S2_S2_
0x00429eb0:0x00429ebe, _ZSt3maxItERKT_S2_S2_
0x00429ec0:0x00429ec8, _ZN3pov20initialise_histogramEv
0x00429ed0:0x00429ed1, _ZN3pov17destroy_histogramEv
0x00429ee0:0x00429ee1, _ZN3pov20accumulate_histogramEiii
0x00429ef0:0x00429ef1, _ZN3pov15write_histogramEPc
0x00429f00:0x0042a7d3, _ZN3pov14Read_Iff_ImageEPNS_12Image_StructEPc
0x0042a7e0:0x0042a7ff, _ZN3povL17Read_Chunk_HeaderEPN8pov_base7IStreamEPNS_19Chunk_Header_StructE
0x0042a800:0x0042a82e, _ZN3povL9read_longEPN8pov_base7IStreamE
0x0042a830:0x0042a83c, _ZN3povL9iff_errorEv
0x0042a840:0x0042a861, _ZN3povL9read_wordEPN8pov_base7IStreamE
0x0042a870:0x0042a886, _ZN3povL9read_byteEPN8pov_base7IStreamE
0x0042a890:0x0042a8a5, _ZN8pov_base7IStream9Read_ByteEv
0x0042a8b0:0x0042a92c, _ZN3pov9image_mapEPdPNS_14Pigment_StructEPf
0x0042a930:0x0042aae9, _ZN3povL3mapEPdPNS_14Pattern_StructES0_S0_
0x0042aaf0:0x0042ab00, _ZN3povL15image_colour_atEPNS_12Image_StructEddPfPi
0x0042ab00:0x0042abde, _ZN3pov12material_mapEPdPNS_14Texture_StructE
0x0042abe0:0x0042b18e, _ZN3pov8bump_mapEPdPNS_14Tnormal_StructES0_
0x0042b190:0x0042b2c3, _ZN3pov13image_patternEPdPNS_14Pattern_StructE
0x0042b2d0:0x0042b424, _ZN3pov15image_height_atEPNS_12Image_StructEii
0x0042b430:0x0042b574, _ZN3pov15is_image_opaqueEPNS_12Image_StructE
0x0042b580:0x0042b60f, _ZN3pov12Create_ImageEv
0x0042b610:0x0042b61c, _ZN3pov10Copy_ImageEPNS_12Image_StructE
0x0042b620:0x0042b90e, _ZN3pov13Destroy_ImageEPNS_12Image_StructE
0x0042b910:0x0042bca5, _ZN3povL16no_interpolationEPNS_12Image_StructEddPfPi
0x0042bcb0:0x0042c1c7, _ZN3povL6InterpEPNS_12Image_StructEddPfPi
0x0042c1d0:0x0042c228, _ZN3povL8bilinearEPddd
0x0042c230:0x0042c2c7, _ZN3povL9norm_distEPddd
0x0042c2d0:0x0042c461, _ZN3povL16planar_image_mapEPdPNS_12Image_StructES0_S0_
0x0042c470:0x0042c5fa, _ZN3povL19spherical_image_mapEPdPNS_12Image_StructES0_S0_
0x0042c600:0x0042c781, _ZN3povL21cylindrical_image_mapEPdPNS_12Image_StructES0_S0_
0x0042c790:0x0042c926, _ZN3povL15torus_image_mapEPdPNS_12Image_StructES0_S0_
0x0042c930:0x0042c93a, _ZN3pov14Make_UV_VectorEPddd
0x0042c940:0x0042c941, _ZN3pov13Init_InteriorEPNS_15Interior_StructE
0x0042c950:0x0042c9b1, _ZN3pov15Create_InteriorEv
0x0042c9c0:0x0042ca08, _ZN3pov13Copy_InteriorEPNS_15Interior_StructE
0x0042ca10:0x0042ca1c, _ZN3pov21Copy_Interior_PointerEPNS_15Interior_StructE
0x0042ca20:0x0042ca4c, _ZN3pov16Destroy_InteriorEPNS_15Interior_StructE
0x0042ca50:0x0042ca64, _ZN3pov18Transform_InteriorEPNS_15Interior_StructEPNS_16Transform_StructE
0x0042ca70:0x0042ca9c, _ZN3pov15Create_MaterialEv
0x0042caa0:0x0042cafa, _ZN3pov13Copy_MaterialEPNS_15Material_StructE
0x0042cb00:0x0042cb38, _ZN3pov16Destroy_MaterialEPNS_15Material_StructE
0x0042cb40:0x0042d15a, _ZN3povL28All_IsoSurface_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x0042d160:0x0042d282, _ZN3povL17Inside_IsoSurfaceEPdPNS_13Object_StructE
0x0042d290:0x0042d4e4, _ZN3povL17IsoSurface_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x0042d4f0:0x0042d552, _ZN3pov15Copy_IsoSurfaceEPNS_13Object_StructE
0x0042d560:0x0042d565, _ZN3povL20Translate_IsoSurfaceEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0042d570:0x0042d575, _ZN3povL17Rotate_IsoSurfaceEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0042d580:0x0042d585, _ZN3povL16Scale_IsoSurfaceEPNS_13Object_StructEPdPNS_16Transform_StructE
0x0042d590:0x0042d5c5, _ZN3povL20Transform_IsoSurfaceEPNS_13Object_StructEPNS_16Transform_StructE
0x0042d5d0:0x0042d5d5, _ZN3povL17Invert_IsoSurfaceEPNS_13Object_StructE
0x0042d5e0:0x0042d926, _ZN3pov18Destroy_IsoSurfaceEPNS_13Object_StructE
0x0042d930:0x0042dad5, _ZN3pov17Create_IsoSurfaceEv
0x0042dae0:0x0042db8d, _ZN3pov23Compute_IsoSurface_BBoxEPNS_17IsoSurface_StructE
0x0042db90:0x0042de9d, _ZN3pov29IsoSurface_Function_Find_RootEPNS_17IsoSurface_StructEPdS2_S2_S2_b
